system,evaluation_mode,candidate_pool,query_id,hit@1,recall@1,ndcg@1,hit@5,recall@5,ndcg@5,hit@10,recall@10,ndcg@10,hit@20,recall@20,ndcg@20,hit@50,recall@50,ndcg@50,hit@100,recall@100,ndcg@100,mrr,mrr@10
bge,job_to_talent,full,36,0.0,0.0,0.0,1.0,0.14285714285714285,0.14606834984270645,1.0,0.14285714285714285,0.11838279295536293,1.0,0.14285714285714285,0.11838279295536293,1.0,0.14285714285714285,0.11838279295536293,1.0,0.2857142857142857,0.16454793743250742,0.25,0.25
bge,job_to_talent,full,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.04311758944779025,0.012195121951219513,0.0
bge,job_to_talent,full,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004201680672268907,0.0
bge,job_to_talent,full,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033003300330033004,0.0
bge,job_to_talent,full,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.06882065896991112,1.0,0.25,0.06882065896991112,0.02,0.0
bge,job_to_talent,full,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024813895781637717,0.0
bge,job_to_talent,full,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002145922746781116,0.0
bge,job_to_talent,full,252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.07336392209936005,1.0,0.18181818181818182,0.1163303921953297,1.0,0.18181818181818182,0.1163303921953297,1.0,0.5454545454545454,0.25059716386532976,0.14285714285714285,0.14285714285714285
bge,job_to_talent,full,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.227670248696953,1.0,1.0,0.227670248696953,1.0,1.0,0.227670248696953,0.05,0.0
bge,job_to_talent,full,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00425531914893617,0.0
